"Name_clean","Name","Count","source","lat","lon","matched_name","in_sweden","county"
"Torne träsk","Torne träsk.",3,"https://www.wikidata.org//wiki/Q215818","68.3666666666667","19.1","Torneträsk",1,"Norrbotten"
"Torne Träsk","Torne Träsk",1,"https://www.wikidata.org//wiki/Q215818","68.3666666666667","19.1","Torneträsk",1,"Norrbotten"
"Torneå","Torneå",82,"https://www.wikidata.org//wiki/Q214021","65.8497305555556","24.1440888888889","Tornio",1,"Norrbotten"
"Torneälven","Torneälven",15,"https://www.wikidata.org//wiki/Q121538","65.8083333333333","24.1458333333333","Torne River",1,"Norrbotten"
"Torneälvens","Torneälvens",5,"https://www.wikidata.org//wiki/Q121538","65.8083333333333","24.1458333333333","Torne River",1,"Norrbotten"
"Tornedal","Tornedalsregionen",1,"https://www.wikidata.org//wiki/Q734149","67.058","23.676","Torne Valley",1,"Norrbotten"
"TornedalenHaparanda","TornedalenHaparanda",1,"https://www.wikidata.org//wiki/Q28934111","65.9646944444444","24.0321111111111","Tornedalen Fishing Museum",1,"Norrbotten"
"Tornedalens","Tornedalens",31,"https://www.wikidata.org//wiki/Q10700146","66.3908305555556","23.6611111111111","Tornedalens folkhögskola",1,"Norrbotten"
"Tornedalens bibliotek","Tornedalens bibliotek.",1,"https://www.wikidata.org//wiki/Q61751793","66.3870694444444","23.6486111111111","No label defined",1,"Norrbotten"
"Tornedalens folkhögskola","Tornedalens folkhögskola",1,"https://www.wikidata.org//wiki/Q10700146","66.3908305555556","23.6611111111111","Tornedalens folkhögskola",1,"Norrbotten"
"Torneträsk","Torneträsk",4,"geonames_unique","68.3916","18.86112","Torneträsk",1,"Norrbotten"
"Tornio","Tornio",15,"https://www.wikidata.org//wiki/Q214021","65.8497305555556","24.1440888888889","Tornio",1,"Norrbotten"
"Törnrosen","Törnrosen",2,"https://www.wikidata.org//wiki/Q7862353","55.5869444444444","13.0327777777778","Törnrosen",1,"Skåne"
"Torpa","Torpa",2,"https://www.wikidata.org//wiki/Q10700233","57.9619438888889","15.1436111111111","Torpa",1,"Östergötland"
"Torpön","Torpön",9,"https://www.wikidata.org//wiki/Q30160550","57.95346","15.1844580555556","Torpön",1,"Östergötland"
"Torps","Torps",1,"https://www.wikidata.org//wiki/Q10700254","58.2486111111111","11.7219388888889","Torps kyrka, Orust",1,"Västra Götaland"
"Torps köpcentrum","Torps köpcentrum",1,"https://www.wikidata.org//wiki/Q10700206","58.35","11.8166666666667","Torp Köpcentrum",1,"Västra Götaland"
"Torps köpcentrum","Torps köpcentrum.",1,"https://www.wikidata.org//wiki/Q10700206","58.35","11.8166666666667","Torp Köpcentrum",1,"Västra Götaland"
"Torpshammar","Torpshammar",16,"geonames_unique","62.47591","16.32461","Torpshammar",1,"Västernorrland"
"Torrlösa","Torrlösa",1,"geonames_unique","55.9","13.13333","Torrlösa",1,"Skåne"
"Torsåker","Torsåker",7,"https://www.wikidata.org//wiki/Q668933","60.5117069444444","16.4757911111111","Torsåker",1,"Gävleborg"
"Torsås","Torsås",44,"https://www.wikidata.org//wiki/Q1016705","56.4109019444444","16.0033061111111","Torsås",1,"Kalmar"
"Torsås kommun","Torsås kommun.",1,"https://www.wikidata.org//wiki/Q515551","56.4","16","Torsås Municipality",1,"Kalmar"
"Torsboda","Torsboda",2,"geonames_unique","62.52902","17.4856","Torsboda",1,"Västernorrland"
"Torsby","Torsby.",8,"https://www.wikidata.org//wiki/Q510135","60.1333333333333","13","Torsby Municipality",1,"Värmland"
"Torsby","Torsby",539,"https://www.wikidata.org//wiki/Q510135","60.1333333333333","13","Torsby Municipality",1,"Värmland"
"Torsby","centrala Torsby",1,"https://www.wikidata.org//wiki/Q510135","60.1333333333333","13","Torsby Municipality",1,"Värmland"
"Torsby finnkulturcentrum","Torsby finnkulturcentrum",1,"https://www.wikidata.org//wiki/Q10700350","60.191","12.6746111111111","Torsby Finnskogscentrum",1,"Värmland"
"Torsby flygplats","Torsby flygplats",6,"https://www.wikidata.org//wiki/Q2502553","60.1547194444444","12.9944388888889","Torsby Airport",1,"Värmland"
"Torsby flygplats","Torsby flygplats.",3,"https://www.wikidata.org//wiki/Q2502553","60.1547194444444","12.9944388888889","Torsby Airport",1,"Värmland"
"Torsby kommun","Torsby kommun.",5,"https://www.wikidata.org//wiki/Q510135","60.1333333333333","13","Torsby Municipality",1,"Värmland"
"Torsby kommun","Torsby kommun",40,"https://www.wikidata.org//wiki/Q510135","60.1333333333333","13","Torsby Municipality",1,"Värmland"
"Torsbys","Torsbys",1,"https://www.wikidata.org//wiki/Q510135","60.1333333333333","13","Torsby Municipality",1,"Värmland"
"Torsbys kommun","Torsbys kommun",1,"https://www.wikidata.org//wiki/Q510135","60.1333333333333","13","Torsby Municipality",1,"Värmland"
"Torshälla","Torshälla.",1,"https://www.wikidata.org//wiki/Q1000633","59.4190280555556","16.4772419444444","Torshälla",1,"Södermanland"
"Torshälla","Torshälla",33,"https://www.wikidata.org//wiki/Q1000633","59.4190280555556","16.4772419444444","Torshälla",1,"Södermanland"
"Torshällas","Torshällas",1,"https://www.wikidata.org//wiki/Q1000633","59.4190280555556","16.4772419444444","Torshälla",1,"Södermanland"
"Torslanda","Torslanda.",1,"https://www.wikidata.org//wiki/Q28154","57.7166666666667","11.7666666666667","Torslanda",1,"Västra Götaland"
"Torslanda","Torslanda",129,"https://www.wikidata.org//wiki/Q28154","57.7166666666667","11.7666666666667","Torslanda",1,"Västra Götaland"
"Torslanda flygplats","Torslanda flygplats.",1,"https://www.wikidata.org//wiki/Q3364802","57.7091666666667","11.7872222222222","Torslanda Airport",1,"Västra Götaland"
"Torslanda kommun","Torslanda kommun.",2,"https://www.wikidata.org//wiki/Q10700398","56.6330555555556","16.515","Torslunda municipality",1,"Kalmar"
"Torslanda kommun","Torslanda kommun",5,"https://www.wikidata.org//wiki/Q10700398","56.6330555555556","16.515","Torslunda municipality",1,"Kalmar"
"Torslanda kommuns","Torslanda kommuns",1,"https://www.wikidata.org//wiki/Q28154","57.7166666666667","11.7666666666667","Torslanda",1,"Västra Götaland"
"Torslandas","Torslandas",7,"https://www.wikidata.org//wiki/Q28154","57.7166666666667","11.7666666666667","Torslanda",1,"Västra Götaland"
"Torslandas kommun","Torslandas kommun",1,"https://www.wikidata.org//wiki/Q10700398","56.6330555555556","16.515","Torslunda municipality",1,"Kalmar"
"Torslandaskolan","Torslandaskolan",1,"https://www.wikidata.org//wiki/Q111335468","57.7194444444444","11.7591666666667","Torslandaskolan F-6",1,"Västra Götaland"
"Torslandaskolan","Torslandaskolan.",1,"https://www.wikidata.org//wiki/Q111335468","57.7194444444444","11.7591666666667","Torslandaskolan F-6",1,"Västra Götaland"
"Torslandaverken","Torslandaverken",16,"https://www.wikidata.org//wiki/Q13424462","57.7166666666667","11.85","Torslandaverken",1,"Västra Götaland"
"Torslandaverken","Torslandaverken.",5,"https://www.wikidata.org//wiki/Q13424462","57.7166666666667","11.85","Torslandaverken",1,"Västra Götaland"
"Torsö","Torsö",5,"https://www.wikidata.org//wiki/Q2303367","58.8016666666667","13.8261111111111","Torsö",1,"Västra Götaland"
"Torsöbron","Torsöbron",1,"https://www.wikidata.org//wiki/Q100316373","58.7805","13.8556111111111","Torsö Bridge",1,"Västra Götaland"
"Torsta","Torsta",1,"geonames_unique","59.16009","15.29546","Torsta",1,"Orebro"
"Torsvik","Torsvik",2,"geocode","58.36389","11.35","Torsvik",1,"Västra Götaland"
"Torsviken","Torsviken",6,"https://www.wikidata.org//wiki/Q106709016","59.3329805555556","13.2608194444444","Torsviken, public beach",1,"Värmland"
"Torsviken","Torsviken.",1,"https://www.wikidata.org//wiki/Q106709016","59.3329805555556","13.2608194444444","Torsviken, public beach",1,"Värmland"
"Torsvikens","Torsvikens",5,"https://www.wikidata.org//wiki/Q106709016","59.3329805555556","13.2608194444444","Torsviken, public beach",1,"Värmland"
"Torup","Torup",1,"https://www.wikidata.org//wiki/Q2481233","56.9523630555556","13.0745830555556","Torup",1,"Halland"
"Torvalla","Torvalla",5,"https://www.wikidata.org//wiki/Q18334048","63.1447219444444","14.7275","Torvalla",1,"Jämtland"
"Tösse","Tösse",1,"geonames_unique","58.97201","12.64333","Tösse",1,"Västra Götaland"
"Tossebergsklätten","Tossebergsklätten",1,"geonames_unique","59.98333","13.08333","Tossebergsklätten",1,"Värmland"
"Tossene","Tossene",1,"https://www.wikidata.org//wiki/Q3532652","58.4455611111111","11.3752805555556","Tossene socken",1,"Västra Götaland"
"Tosteberga","Tosteberga",1,"geonames_unique","56.00833","14.43333","Tosteberga",1,"Skåne"
"Totalförsvarets","Totalförsvarets",1,"https://www.wikidata.org//wiki/Q10700597","63.8333333333333","20.25","National CBRN Defence Centre",1,"Västerbotten"
"Totalförsvarets skyddscentrum","Totalförsvarets skyddscentrum",2,"https://www.wikidata.org//wiki/Q10700597","63.8333333333333","20.25","National CBRN Defence Centre",1,"Västerbotten"
"Tovetorp","Tovetorp",1,"geonames_unique","59.26667","14.9","Tovetorp",1,"Orebro"
"Träff","Träff",1,"geonames_unique","60.58333","17.68333","Träff",1,NA
"Träkumla","Träkumla",1,"geonames_unique","57.56035","18.313","Träkumla",1,"Gotland"
"Träkvista skola","Träkvista skola",1,"https://www.wikidata.org//wiki/Q89197798","59.275","17.802","No label defined",1,"Stockholm"
"Trälhavet","Trälhavet",1,"https://www.wikidata.org//wiki/Q10705582","59.445","18.35","Trälhavet",1,NA
"Tranå","Tranåsområdet",1,"https://www.wikidata.org//wiki/Q505071","58.0333333333333","14.9666666666667","Tranås Municipality",1,"Jönköping"
"Tranarpsbron","Tranarpsbron",6,"https://www.wikidata.org//wiki/Q10701243","56.1808333333333","13.0180555555556","No label defined",1,"Skåne"
"Tranås","Tranås",155,"https://www.wikidata.org//wiki/Q988403","58.0322111111111","14.9749711111111","Tranås",1,"Jönköping"
"Tranås","Tranås innerstad",1,"https://www.wikidata.org//wiki/Q988403","58.0322111111111","14.9749711111111","Tranås",1,"Jönköping"
"Tranås","Tranås innerstad.",1,"https://www.wikidata.org//wiki/Q988403","58.0322111111111","14.9749711111111","Tranås",1,"Jönköping"
"Tranås","centrala Tranås",1,"https://www.wikidata.org//wiki/Q988403","58.0322111111111","14.9749711111111","Tranås",1,"Jönköping"
"Tranås","Tranås.",1,"https://www.wikidata.org//wiki/Q988403","58.0322111111111","14.9749711111111","Tranås",1,"Jönköping"
"Tranås kommuner","Tranås kommuner.",1,"geocode","58.02906","14.83456","Tranås Kommun",1,"Jönköping"
"Tranås kommuner","Tranås kommuner",10,"geocode","58.02906","14.83456","Tranås Kommun",1,"Jönköping"
"Traneberg","Traneberg",4,"https://www.wikidata.org//wiki/Q1589316","59.3392527777778","17.9890833333333","Traneberg",1,"Stockholm"
