"county","year","urban_pop_prop","rural_pop_prop","total_population"
"Västmanland",1981,0.684534280444295,0.315465719555705,261327.101472137
"Jönköping",1981,0.558250908396343,0.441749091603657,306168.965075855
"Orebro",1981,0.586937174068411,0.413062825931589,267059.207092893
"Kronoberg",1981,0.459895752209114,0.540104247790886,167056.491735269
"Norrbotten",1982,0.511480567421255,0.488519432578745,272427.417112076
"Västerbotten",1982,0.5117163603093,0.4882836396907,262973.638973949
"Jämtland",1982,0.316941997853435,0.683058002146565,137533.538966054
"Dalarna",1982,0.444135806504245,0.555864193495755,286937.540526148
"Värmland",1982,0.538475906336657,0.461524093663343,290131.173145059
"Västra Götaland",1982,0.644250809242015,0.355749190757985,1403318.35979062
"Västernorrland",1982,0.524059382152007,0.475940617847993,250487.320913182
"Gävleborg",1982,0.512729403109559,0.487270596890441,289121.837704618
"Uppsala",1982,0.526521960240526,0.473478039759474,250547.651234727
"Stockholm",1982,0.887390081657753,0.112609918342247,1452062.13880703
"Södermanland",1982,0.559714917615257,0.440285082384743,239178.333374591
"Östergötland",1982,0.608078149536387,0.391921850463613,393922.664101332
"Kalmar",1982,0.406177122429877,0.593822877570123,246782.235492781
"Blekinge",1982,0.528995519717372,0.471004480282628,135209.31810117
"Skåne",1982,0.648481075143,0.351518924857,967546.662577685
"Halland",1982,0.503268533150496,0.496731466849504,252963.568340988
"Gotland",1982,0.392120808689396,0.607879191310604,61673.6173415026
"Västmanland",1982,0.684534280444295,0.315465719555705,261327.101472137
"Jönköping",1982,0.558250908396343,0.441749091603657,306168.965075855
"Orebro",1982,0.586937174068411,0.413062825931589,267059.207092893
"Kronoberg",1982,0.459895752209114,0.540104247790886,167056.491735269
"Norrbotten",1983,0.511480567421255,0.488519432578745,272427.417112076
"Västerbotten",1983,0.5117163603093,0.4882836396907,262973.638973949
"Jämtland",1983,0.316941997853435,0.683058002146565,137533.538966054
"Dalarna",1983,0.444135806504245,0.555864193495755,286937.540526148
"Värmland",1983,0.538475906336657,0.461524093663343,290131.173145059
"Västra Götaland",1983,0.644250809242015,0.355749190757985,1403318.35979062
"Västernorrland",1983,0.524059382152007,0.475940617847993,250487.320913182
"Gävleborg",1983,0.512729403109559,0.487270596890441,289121.837704618
"Uppsala",1983,0.526521960240526,0.473478039759474,250547.651234727
"Stockholm",1983,0.887390081657753,0.112609918342247,1452062.13880703
"Södermanland",1983,0.559714917615257,0.440285082384743,239178.333374591
"Östergötland",1983,0.608078149536387,0.391921850463613,393922.664101332
"Kalmar",1983,0.406177122429877,0.593822877570123,246782.235492781
"Blekinge",1983,0.528995519717372,0.471004480282628,135209.31810117
"Skåne",1983,0.648481075143,0.351518924857,967546.662577685
"Halland",1983,0.503268533150496,0.496731466849504,252963.568340988
"Gotland",1983,0.392120808689396,0.607879191310604,61673.6173415026
"Västmanland",1983,0.684534280444295,0.315465719555705,261327.101472137
"Jönköping",1983,0.558250908396343,0.441749091603657,306168.965075855
"Orebro",1983,0.586937174068411,0.413062825931589,267059.207092893
"Kronoberg",1983,0.459895752209114,0.540104247790886,167056.491735269
"Norrbotten",1984,0.511480567421255,0.488519432578745,272427.417112076
"Västerbotten",1984,0.5117163603093,0.4882836396907,262973.638973949
"Jämtland",1984,0.316941997853435,0.683058002146565,137533.538966054
"Dalarna",1984,0.444135806504245,0.555864193495755,286937.540526148
"Värmland",1984,0.538475906336657,0.461524093663343,290131.173145059
"Västra Götaland",1984,0.644250809242015,0.355749190757985,1403318.35979062
"Västernorrland",1984,0.524059382152007,0.475940617847993,250487.320913182
"Gävleborg",1984,0.512729403109559,0.487270596890441,289121.837704618
"Uppsala",1984,0.526521960240526,0.473478039759474,250547.651234727
"Stockholm",1984,0.887390081657753,0.112609918342247,1452062.13880703
"Södermanland",1984,0.559714917615257,0.440285082384743,239178.333374591
"Östergötland",1984,0.608078149536387,0.391921850463613,393922.664101332
"Kalmar",1984,0.406177122429877,0.593822877570123,246782.235492781
"Blekinge",1984,0.528995519717372,0.471004480282628,135209.31810117
"Skåne",1984,0.648481075143,0.351518924857,967546.662577685
"Halland",1984,0.503268533150496,0.496731466849504,252963.568340988
"Gotland",1984,0.392120808689396,0.607879191310604,61673.6173415026
"Västmanland",1984,0.684534280444295,0.315465719555705,261327.101472137
"Jönköping",1984,0.558250908396343,0.441749091603657,306168.965075855
"Orebro",1984,0.586937174068411,0.413062825931589,267059.207092893
"Kronoberg",1984,0.459895752209114,0.540104247790886,167056.491735269
"Norrbotten",1985,0.51041239908331,0.48958760091669,266833.681167449
"Västerbotten",1985,0.509594830766099,0.490405169233901,260967.18947451
"Jämtland",1985,0.31676885696959,0.68323114303041,135515.075588288
"Dalarna",1985,0.442483315981081,0.557516684018919,284570.930200816
"Värmland",1985,0.537199435046413,0.462800564953587,286900.519670281
"Västra Götaland",1985,0.643260708477474,0.356739291522526,1413726.49924974
"Västernorrland",1985,0.518036959067075,0.481963040932925,246553.080249525
"Gävleborg",1985,0.510900257115088,0.489099742884912,286097.785468182
"Uppsala",1985,0.554924645439966,0.445075354560034,258115.582454941
"Stockholm",1985,0.886032742244051,0.113967257755949,1496601.02485146
"Södermanland",1985,0.557219593694296,0.442780406305704,242396.13083002
"Östergötland",1985,0.608371971403287,0.391628028596713,396641.201645012
"Kalmar",1985,0.404902732407121,0.595097267592879,243398.729995295
"Blekinge",1985,0.526197953404906,0.473802046595094,135528.687058692
"Skåne",1985,0.644500006320612,0.355499993679388,989565.810764143
"Halland",1985,0.503915420411615,0.496084579588385,258802.206710622
"Gotland",1985,0.391086598768852,0.608913401231148,60714.6344902271
"Västmanland",1985,0.681974289759969,0.318025710240031,262359.396326719
"Jönköping",1985,0.557852592792238,0.442147407207762,307395.453788019
"Orebro",1985,0.582834135816724,0.417165864183275,268474.827149717
"Kronoberg",1985,0.460387713854146,0.539612286145854,168912.283322556
"Norrbotten",1986,0.51041239908331,0.48958760091669,266833.681167449
"Västerbotten",1986,0.509594830766099,0.490405169233901,260967.18947451
"Jämtland",1986,0.31676885696959,0.68323114303041,135515.075588288
"Dalarna",1986,0.442483315981081,0.557516684018919,284570.930200816
"Värmland",1986,0.537199435046413,0.462800564953587,286900.519670281
"Västra Götaland",1986,0.643260708477474,0.356739291522526,1413726.49924974
"Västernorrland",1986,0.518036959067075,0.481963040932925,246553.080249525
"Gävleborg",1986,0.510900257115088,0.489099742884912,286097.785468182
"Uppsala",1986,0.554924645439966,0.445075354560034,258115.582454941
"Stockholm",1986,0.886032742244051,0.113967257755949,1496601.02485146
"Södermanland",1986,0.557219593694296,0.442780406305704,242396.13083002
"Östergötland",1986,0.608371971403287,0.391628028596713,396641.201645012
"Kalmar",1986,0.404902732407121,0.595097267592879,243398.729995295
"Blekinge",1986,0.526197953404906,0.473802046595094,135528.687058692
"Skåne",1986,0.644500006320612,0.355499993679388,989565.810764143
"Halland",1986,0.503915420411615,0.496084579588385,258802.206710622
"Gotland",1986,0.391086598768852,0.608913401231148,60714.6344902271
"Västmanland",1986,0.681974289759969,0.318025710240031,262359.396326719
"Jönköping",1986,0.557852592792238,0.442147407207762,307395.453788019
"Orebro",1986,0.582834135816724,0.417165864183275,268474.827149717
"Kronoberg",1986,0.460387713854146,0.539612286145854,168912.283322556
"Norrbotten",1987,0.51041239908331,0.48958760091669,266833.681167449
"Västerbotten",1987,0.509594830766099,0.490405169233901,260967.18947451
"Jämtland",1987,0.31676885696959,0.68323114303041,135515.075588288
"Dalarna",1987,0.442483315981081,0.557516684018919,284570.930200816
"Värmland",1987,0.537199435046413,0.462800564953587,286900.519670281
"Västra Götaland",1987,0.643260708477474,0.356739291522526,1413726.49924974
"Västernorrland",1987,0.518036959067075,0.481963040932925,246553.080249525
"Gävleborg",1987,0.510900257115088,0.489099742884912,286097.785468182
"Uppsala",1987,0.554924645439966,0.445075354560034,258115.582454941
"Stockholm",1987,0.886032742244051,0.113967257755949,1496601.02485146
"Södermanland",1987,0.557219593694296,0.442780406305704,242396.13083002
"Östergötland",1987,0.608371971403287,0.391628028596713,396641.201645012
"Kalmar",1987,0.404902732407121,0.595097267592879,243398.729995295
"Blekinge",1987,0.526197953404906,0.473802046595094,135528.687058692
"Skåne",1987,0.644500006320612,0.355499993679388,989565.810764143
"Halland",1987,0.503915420411615,0.496084579588385,258802.206710622
"Gotland",1987,0.391086598768852,0.608913401231148,60714.6344902271
"Västmanland",1987,0.681974289759969,0.318025710240031,262359.396326719
"Jönköping",1987,0.557852592792238,0.442147407207762,307395.453788019
"Orebro",1987,0.582834135816724,0.417165864183275,268474.827149717
"Kronoberg",1987,0.460387713854146,0.539612286145854,168912.283322556
"Norrbotten",1988,0.51041239908331,0.48958760091669,266833.681167449
"Västerbotten",1988,0.509594830766099,0.490405169233901,260967.18947451
"Jämtland",1988,0.31676885696959,0.68323114303041,135515.075588288
"Dalarna",1988,0.442483315981081,0.557516684018919,284570.930200816
"Värmland",1988,0.537199435046413,0.462800564953587,286900.519670281
"Västra Götaland",1988,0.643260708477474,0.356739291522526,1413726.49924974
"Västernorrland",1988,0.518036959067075,0.481963040932925,246553.080249525
"Gävleborg",1988,0.510900257115088,0.489099742884912,286097.785468182
"Uppsala",1988,0.554924645439966,0.445075354560034,258115.582454941
"Stockholm",1988,0.886032742244051,0.113967257755949,1496601.02485146
"Södermanland",1988,0.557219593694296,0.442780406305704,242396.13083002
"Östergötland",1988,0.608371971403287,0.391628028596713,396641.201645012
"Kalmar",1988,0.404902732407121,0.595097267592879,243398.729995295
"Blekinge",1988,0.526197953404906,0.473802046595094,135528.687058692
"Skåne",1988,0.644500006320612,0.355499993679388,989565.810764143
"Halland",1988,0.503915420411615,0.496084579588385,258802.206710622
"Gotland",1988,0.391086598768852,0.608913401231148,60714.6344902271
"Västmanland",1988,0.681974289759969,0.318025710240031,262359.396326719
"Jönköping",1988,0.557852592792238,0.442147407207762,307395.453788019
"Orebro",1988,0.582834135816724,0.417165864183275,268474.827149717
"Kronoberg",1988,0.460387713854146,0.539612286145854,168912.283322556
"Norrbotten",1989,0.51041239908331,0.48958760091669,266833.681167449
"Västerbotten",1989,0.509594830766099,0.490405169233901,260967.18947451
"Jämtland",1989,0.31676885696959,0.68323114303041,135515.075588288
"Dalarna",1989,0.442483315981081,0.557516684018919,284570.930200816
"Värmland",1989,0.537199435046413,0.462800564953587,286900.519670281
"Västra Götaland",1989,0.643260708477474,0.356739291522526,1413726.49924974
"Västernorrland",1989,0.518036959067075,0.481963040932925,246553.080249525
"Gävleborg",1989,0.510900257115088,0.489099742884912,286097.785468182
"Uppsala",1989,0.554924645439966,0.445075354560034,258115.582454941
"Stockholm",1989,0.886032742244051,0.113967257755949,1496601.02485146
"Södermanland",1989,0.557219593694296,0.442780406305704,242396.13083002
"Östergötland",1989,0.608371971403287,0.391628028596713,396641.201645012
"Kalmar",1989,0.404902732407121,0.595097267592879,243398.729995295
"Blekinge",1989,0.526197953404906,0.473802046595094,135528.687058692
"Skåne",1989,0.644500006320612,0.355499993679388,989565.810764143
"Halland",1989,0.503915420411615,0.496084579588385,258802.206710622
"Gotland",1989,0.391086598768852,0.608913401231148,60714.6344902271
"Västmanland",1989,0.681974289759969,0.318025710240031,262359.396326719
"Jönköping",1989,0.557852592792238,0.442147407207762,307395.453788019
"Orebro",1989,0.582834135816724,0.417165864183275,268474.827149717
"Kronoberg",1989,0.460387713854146,0.539612286145854,168912.283322556
"Norrbotten",1990,0.509253053118213,0.490746946881787,263270.556876817
"Västerbotten",1990,0.507929644947523,0.492070355052476,261367.67827879
"Jämtland",1990,0.317190449951382,0.682809550048618,134694.266316125
"Dalarna",1990,0.44812146284362,0.55187853715638,284827.579396121
"Värmland",1990,0.537025930773858,0.462974069226142,286241.956017941
"Västra Götaland",1990,0.64171315029784,0.35828684970216,1436038.23293268
"Västernorrland",1990,0.514847089053665,0.485152910946335,244790.048030446
"Gävleborg",1990,0.509236374104011,0.490763625895989,285674.423378224
"Uppsala",1990,0.555783645056759,0.444216354943241,269058.527984779
"Stockholm",1990,0.889642603854478,0.110357396145522,1554170.15283923
"Södermanland",1990,0.554457203906792,0.445542796093208,248258.409856599
"Östergötland",1990,0.604941909038838,0.395058090961162,402937.439292567
"Kalmar",1990,0.412267456930768,0.587732543069232,242205.112822939
"Blekinge",1990,0.529700895725057,0.470299104274943,137160.627448532
"Skåne",1990,0.652572684896754,0.347427315103246,1022712.23470642
"Halland",1990,0.504651354433139,0.495348645566861,267748.500309592
"Gotland",1990,0.390099153416327,0.609900846583672,60296.5558013162
"Västmanland",1990,0.679729783914234,0.320270216085766,266000.098402728
"Jönköping",1990,0.557644219670716,0.442355780329284,311699.669310363
"Orebro",1990,0.582963937546638,0.417036062453362,272594.620735275
"Kronoberg",1990,0.461464564668734,0.538535435331266,172556.949516557
"Norrbotten",1991,0.509253053118213,0.490746946881787,263270.556876817
"Västerbotten",1991,0.507929644947523,0.492070355052476,261367.67827879
"Jämtland",1991,0.317190449951382,0.682809550048618,134694.266316125
"Dalarna",1991,0.44812146284362,0.55187853715638,284827.579396121
"Värmland",1991,0.537025930773858,0.462974069226142,286241.956017941
"Västra Götaland",1991,0.64171315029784,0.35828684970216,1436038.23293268
"Västernorrland",1991,0.514847089053665,0.485152910946335,244790.048030446
"Gävleborg",1991,0.509236374104011,0.490763625895989,285674.423378224
"Uppsala",1991,0.555783645056759,0.444216354943241,269058.527984779
"Stockholm",1991,0.889642603854478,0.110357396145522,1554170.15283923
"Södermanland",1991,0.554457203906792,0.445542796093208,248258.409856599
"Östergötland",1991,0.604941909038838,0.395058090961162,402937.439292567
"Kalmar",1991,0.412267456930768,0.587732543069232,242205.112822939
"Blekinge",1991,0.529700895725057,0.470299104274943,137160.627448532
"Skåne",1991,0.652572684896754,0.347427315103246,1022712.23470642
"Halland",1991,0.504651354433139,0.495348645566861,267748.500309592
"Gotland",1991,0.390099153416327,0.609900846583672,60296.5558013162
"Västmanland",1991,0.679729783914234,0.320270216085766,266000.098402728
"Jönköping",1991,0.557644219670716,0.442355780329284,311699.669310363
"Orebro",1991,0.582963937546638,0.417036062453362,272594.620735275
"Kronoberg",1991,0.461464564668734,0.538535435331266,172556.949516557
"Norrbotten",1992,0.509253053118213,0.490746946881787,263270.556876817
"Västerbotten",1992,0.507929644947523,0.492070355052476,261367.67827879
"Jämtland",1992,0.317190449951382,0.682809550048618,134694.266316125
"Dalarna",1992,0.44812146284362,0.55187853715638,284827.579396121
"Värmland",1992,0.537025930773858,0.462974069226142,286241.956017941
"Västra Götaland",1992,0.64171315029784,0.35828684970216,1436038.23293268
"Västernorrland",1992,0.514847089053665,0.485152910946335,244790.048030446
"Gävleborg",1992,0.509236374104011,0.490763625895989,285674.423378224
"Uppsala",1992,0.555783645056759,0.444216354943241,269058.527984779
"Stockholm",1992,0.889642603854478,0.110357396145522,1554170.15283923
"Södermanland",1992,0.554457203906792,0.445542796093208,248258.409856599
"Östergötland",1992,0.604941909038838,0.395058090961162,402937.439292567
"Kalmar",1992,0.412267456930768,0.587732543069232,242205.112822939
"Blekinge",1992,0.529700895725057,0.470299104274943,137160.627448532
"Skåne",1992,0.652572684896754,0.347427315103246,1022712.23470642
"Halland",1992,0.504651354433139,0.495348645566861,267748.500309592
"Gotland",1992,0.390099153416327,0.609900846583672,60296.5558013162
"Västmanland",1992,0.679729783914234,0.320270216085766,266000.098402728
"Jönköping",1992,0.557644219670716,0.442355780329284,311699.669310363
"Orebro",1992,0.582963937546638,0.417036062453362,272594.620735275
"Kronoberg",1992,0.461464564668734,0.538535435331266,172556.949516557
"Norrbotten",1993,0.509253053118213,0.490746946881787,263270.556876817
"Västerbotten",1993,0.507929644947523,0.492070355052476,261367.67827879
"Jämtland",1993,0.317190449951382,0.682809550048618,134694.266316125
"Dalarna",1993,0.44812146284362,0.55187853715638,284827.579396121
"Värmland",1993,0.537025930773858,0.462974069226142,286241.956017941
"Västra Götaland",1993,0.64171315029784,0.35828684970216,1436038.23293268
"Västernorrland",1993,0.514847089053665,0.485152910946335,244790.048030446
"Gävleborg",1993,0.509236374104011,0.490763625895989,285674.423378224
"Uppsala",1993,0.555783645056759,0.444216354943241,269058.527984779
"Stockholm",1993,0.889642603854478,0.110357396145522,1554170.15283923
"Södermanland",1993,0.554457203906792,0.445542796093208,248258.409856599
"Östergötland",1993,0.604941909038838,0.395058090961162,402937.439292567
"Kalmar",1993,0.412267456930768,0.587732543069232,242205.112822939
"Blekinge",1993,0.529700895725057,0.470299104274943,137160.627448532
"Skåne",1993,0.652572684896754,0.347427315103246,1022712.23470642
"Halland",1993,0.504651354433139,0.495348645566861,267748.500309592
"Gotland",1993,0.390099153416327,0.609900846583672,60296.5558013162
"Västmanland",1993,0.679729783914234,0.320270216085766,266000.098402728
"Jönköping",1993,0.557644219670716,0.442355780329284,311699.669310363
"Orebro",1993,0.582963937546638,0.417036062453362,272594.620735275
"Kronoberg",1993,0.461464564668734,0.538535435331266,172556.949516557
"Norrbotten",1994,0.509253053118213,0.490746946881787,263270.556876817
"Västerbotten",1994,0.507929644947523,0.492070355052476,261367.67827879
"Jämtland",1994,0.317190449951382,0.682809550048618,134694.266316125
"Dalarna",1994,0.44812146284362,0.55187853715638,284827.579396121
"Värmland",1994,0.537025930773858,0.462974069226142,286241.956017941
"Västra Götaland",1994,0.64171315029784,0.35828684970216,1436038.23293268
"Västernorrland",1994,0.514847089053665,0.485152910946335,244790.048030446
"Gävleborg",1994,0.509236374104011,0.490763625895989,285674.423378224
"Uppsala",1994,0.555783645056759,0.444216354943241,269058.527984779
"Stockholm",1994,0.889642603854478,0.110357396145522,1554170.15283923
"Södermanland",1994,0.554457203906792,0.445542796093208,248258.409856599
"Östergötland",1994,0.604941909038838,0.395058090961162,402937.439292567
"Kalmar",1994,0.412267456930768,0.587732543069232,242205.112822939
"Blekinge",1994,0.529700895725057,0.470299104274943,137160.627448532
"Skåne",1994,0.652572684896754,0.347427315103246,1022712.23470642
"Halland",1994,0.504651354433139,0.495348645566861,267748.500309592
